('Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         811495 function calls (787257 primitive calls) in 3.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      260    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:304(acquire)
      332    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
    168/1    0.001    0.000    3.785    3.785 {built-in method builtins.exec}
      268    0.001    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
      260    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     3761    0.001    0.000    0.004    0.000 filter.py:721(match)
     6195    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     3262    0.001    0.000    0.002    0.000 __init__.py:1065(handle_data)
     9235    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
    218/4    0.001    0.000    1.131    0.283 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      901    0.001    0.000    0.002    0.000 _compiler.py:216(_compile_charset)
     4251    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      341    0.001    0.000    0.005    0.000 css_parser.py:1108(selector_iter)
     4305    0.001    0.000    0.002    0.000 _parser.py:293(tell)
      166    0.001    0.000    0.249    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
      198    0.001    0.000    0.413    0.002 <frozen importlib._bootstrap_external>:1491(_get_spec)
       17    0.001    0.000    0.003    0.000 __init__.py:355(namedtuple)
     3207    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     3705    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      190    0.001    0.000    0.009    0.000 _compiler.py:511(_compile_info)
     9943    0.001    0.000    0.001    0.000 typing.py:2154(cast)
       64    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      190    0.001    0.000    0.141    0.001 _compiler.py:740(compile)
    56/16    0.001    0.000    0.019    0.001 css_parser.py:925(parse_selectors)
       51    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
      260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
     3331    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       79    0.001    0.000    0.006    0.000 css_parser.py:472(parse_attribute_selector)
     1057    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
      310    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
      175    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
    193/4    0.001    0.000    1.111    0.278 <frozen importlib._bootstrap>:911(_load_unlocked)
     4120    0.001    0.000    0.007    0.000 {built-in method builtins.next}
      942    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      380    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
     1363    0.001    0.000    0.002    0.000 _parser.py:172(__setitem__)
       21    0.001    0.000    2.326    0.111 __init__.py:1(<module>)
      332    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2339    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1886    0.001    0.000    0.002    0.000 filter.py:538(matches_tag)
     3823    0.001    0.000    0.001    0.000 element.py:2771(descendants)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
      861    0.001    0.000    0.510    0.001 <frozen importlib._bootstrap_external>:140(_path_stat)
     3662    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      260    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
      853    0.001    0.000    0.002    0.000 typing.py:1188(__setattr__)
       19    0.001    0.000    1.008    0.053 {method 'join' of 'bytes' objects}
      193    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     2776    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     3207    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
       42    0.001    0.000    0.006    0.000 response.py:122(decompress)
     3094    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      339    0.001    0.000    1.983    0.006 ssl.py:1237(recv_into)
       10    0.001    0.000    0.005    0.000 enum.py:919(_convert_)
     1440    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
     2585    0.001    0.000    0.003    0.000 css_parser.py:317(match)
     1005    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     3821    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
    166/4    0.001    0.000    1.111    0.278 <frozen importlib._bootstrap_external>:989(exec_module)
      190    0.001    0.000    0.085    0.000 _parser.py:969(parse)
    444/8    0.001    0.000    1.102    0.138 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       15    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      166    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      175    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
     3034    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
      260    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
     1243    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     3206    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
